dataset,split,context,cost,seed,dimensions,final_test_acc,final_test_loss,avg_message_length,final_message_length,result_path
flat,generic,unshared,no_cost,0,"D(4,4)",1.0,6.926313653821126e-05,5.0,5.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=generic/context=unshared/cost=no_cost/seed=0"
flat,generic,unshared,no_cost,1,"D(3,4)",0.9754166007041931,0.08540242910385132,3.988295454978943,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=generic/context=unshared/cost=no_cost/seed=1"
flat,generic,unshared,no_cost,1,"D(3,8)",0.9916666746139526,0.04663791507482529,4.0,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,8)/dataset=flat/split=generic/context=unshared/cost=no_cost/seed=1"
flat,generic,unshared,no_cost,1,"D(4,4)",0.9971874952316284,0.020897407084703445,5.0,5.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=generic/context=unshared/cost=no_cost/seed=1"
flat,generic,unshared,no_cost,2,"D(3,4)",0.9954167008399963,0.00891127809882164,3.9672727274894712,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=generic/context=unshared/cost=no_cost/seed=2"
flat,generic,unshared,no_cost,2,"D(3,8)",0.9677083492279053,0.13381363451480865,4.0,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,8)/dataset=flat/split=generic/context=unshared/cost=no_cost/seed=2"
flat,generic,unshared,no_cost,2,"D(4,4)",0.9753125309944153,0.11222133785486221,5.0,5.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=generic/context=unshared/cost=no_cost/seed=2"
flat,generic,unshared,no_cost,3,"D(3,4)",1.0,0.000455410685390234,3.9741903376579284,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=generic/context=unshared/cost=no_cost/seed=3"
flat,generic,unshared,no_cost,3,"D(3,8)",0.9750000238418579,0.2046562284231186,4.0,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,8)/dataset=flat/split=generic/context=unshared/cost=no_cost/seed=3"
flat,generic,unshared,no_cost,3,"D(4,4)",1.0,0.0001458071346860379,4.999959678649902,5.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=generic/context=unshared/cost=no_cost/seed=3"
flat,generic,unshared,no_cost,4,"D(3,4)",0.9783334136009216,0.08455010503530502,3.9849431824684145,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=generic/context=unshared/cost=no_cost/seed=4"
flat,generic,unshared,no_cost,4,"D(3,8)",0.9643748998641968,0.15809619426727295,4.0,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,8)/dataset=flat/split=generic/context=unshared/cost=no_cost/seed=4"
flat,generic,unshared,no_cost,4,"D(4,4)",0.9971874952316284,0.030042443424463272,4.999975805282593,5.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=generic/context=unshared/cost=no_cost/seed=4"
flat,specific,shared,length_cost,0,"D(3,4)",0.9520712494850159,0.13443884253501892,2.84421875,3.68359375,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=specific/context=shared/cost=length_cost/seed=0"
flat,specific,shared,length_cost,0,"D(3,8)",0.49978187680244446,0.6964141726493835,1.0,1.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,8)/dataset=flat/split=specific/context=shared/cost=length_cost/seed=0"
flat,specific,shared,length_cost,0,"D(4,4)",0.499457985162735,0.6963927745819092,1.0,1.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=specific/context=shared/cost=length_cost/seed=0"
flat,specific,shared,length_cost,1,"D(3,4)",0.498046875,0.6965345740318298,1.0,1.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=specific/context=shared/cost=length_cost/seed=1"
flat,specific,shared,length_cost,1,"D(3,8)",0.4983169734477997,0.6965697407722473,1.0,1.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,8)/dataset=flat/split=specific/context=shared/cost=length_cost/seed=1"
flat,specific,shared,length_cost,1,"D(4,4)",0.4999072551727295,0.6963058710098267,1.0,1.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=specific/context=shared/cost=length_cost/seed=1"
flat,specific,shared,length_cost,2,"D(3,4)",0.9924219250679016,0.05117560923099518,3.7137890625,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=specific/context=shared/cost=length_cost/seed=2"
